unique_identifier,timestamp,price
BTC-AUD,1557151702649985,559549
ZEC-AUD,1557151702912980,6818
ZEC-AUD,1557151703023977,6818
ZEC-AUD,1557151703023977,6818
LTC-AUD,1557151487755139,7592
ZEC-AUD,1557151487755140,6802
ZEC-AUD,1557151487755144,6799
BTC-AUD,1557151487755146,553137
ZEC-AUD,1557151487977130,6898
ZEC-AUD,1557151487977130,6898
ZEC-AUD,1557151488039145,6897
BTC-AUD,1557151488093131,553137
BTC-AUD,1557151488093131,553137
ZEC-AUD,1557151488092131,6802
ZEC-AUD,1557151488092131,6799
LTC-AUD,1557151488098131,7583
LTC-AUD,1557151488098132,7583
LTC-AUD,1557151488098133,7583
LTC-AUD,1557151488098134,7583
LTC-AUD,1557151488099131,7592
LTC-AUD,1557151488132133,7719
ZEC-AUD,1557151488151132,6799
ZEC-AUD,1557151488195132,6799
ZEC-AUD,1557151488195133,6799
ZEC-AUD,1557151488195134,6802
ZEC-AUD,1557151488228132,6802
ZEC-AUD,1557151488228132,6897
ZEC-AUD,1557151488228132,6897
ETH-AUD,1557151488257135,18786
BTC-AUD,1557151488257148,553134
ETH-AUD,1557151488384132,18786
ETH-AUD,1557151488384132,18786
BTC-AUD,1557151488402133,553134
BTC-AUD,1557151488402133,553134
ZEC-AUD,1557151488595134,6802
BTC-AUD,1557151489763150,553149
BTC-AUD,1557151489838138,553149
ZEC-AUD,1557151490264158,6780
ZEC-AUD,1557151490432140,6780
ZEC-AUD,1557151490432140,6780
LTC-AUD,1557151490551158,7721
LTC-AUD,1557151490639141,7721
LTC-AUD,1557151490639142,7721
ZEC-AUD,1557151490765148,6769
ETH-AUD,1557151490765153,18776
ETH-AUD,1557151490861142,18776
ETH-AUD,1557151490861143,18776
ZEC-AUD,1557151490864142,6769
LTC-AUD,1557151491053144,7717
BTC-AUD,1557151491053147,553145
ETH-AUD,1557151491053154,18382
ETH-AUD,1557151491053162,18391
ETH-AUD,1557151491105143,18382
ETH-AUD,1557151491105143,18391
LTC-AUD,1557151491115143,7717
LTC-AUD,1557151491115143,7717
BTC-AUD,1557151491140143,553145
BTC-AUD,1557151491140144,553145
BTC-AUD,1557151491140145,553145
BTC-AUD,1557151491266148,553128
BTC-AUD,1557151491407144,553128
BTC-AUD,1557151491407144,553128
BTC-AUD,1557151491629146,553145
LTC-AUD,1557151492054164,7742
ZEC-AUD,1557151492054165,6901
ETH-AUD,1557151492286150,18391
ZEC-AUD,1557151492355147,6901
LTC-AUD,1557151492359147,7742
LTC-AUD,1557151492359147,7742
LTC-AUD,1557151492555154,7751
BTC-AUD,1557151492555161,553675
ZEC-AUD,1557151492555163,6902
BTC-AUD,1557151492660150,553675
BTC-AUD,1557151492660151,553675
ZEC-AUD,1557151492673149,6902
ZEC-AUD,1557151492673149,6902
LTC-AUD,1557151492680149,7751
LTC-AUD,1557151492680149,7751
ETH-AUD,1557151492680150,18391
ETH-AUD,1557151492699151,18382
ZEC-AUD,1557151492775160,6811
BTC-AUD,1557151492884151,553675
ZEC-AUD,1557151492893150,6811
ZEC-AUD,1557151492893151,6811
ZEC-AUD,1557151492893152,6811
ZEC-AUD,1557151492893153,6811
BTC-AUD,1557151493056151,553673
LTC-AUD,1557151493276153,7609
LTC-AUD,1557151493276157,7617
ETH-AUD,1557151493276167,18687
ZEC-AUD,1557151681813905,6840
ETH-AUD,1557151452949995,18308
ZEC-AUD,1557151453074996,6762
ETH-AUD,1557151453074997,18918
ETH-AUD,1557151453347002,18273
ZEC-AUD,1557151453347005,6862
BTC-AUD,1557151453347011,552609
ETH-AUD,1557151453424994,18273
ZEC-AUD,1557151681977894,6840
ZEC-AUD,1557151681977894,6852
ZEC-AUD,1557151681977894,6852
LTC-AUD,1557151682317898,7794
ETH-AUD,1557151682317908,18455
ETH-AUD,1557151453424995,18273
ETH-AUD,1557151453424996,18273
ETH-AUD,1557151453424997,18273
ZEC-AUD,1557151453437994,6862
ZEC-AUD,1557151453437994,6862
BTC-AUD,1557151453437994,552609
BTC-AUD,1557151453437994,552609
ETH-AUD,1557151453578011,18911
ETH-AUD,1557151454360006,18280
ZEC-AUD,1557151454360017,6878
ETH-AUD,1557151454425998,18280
ETH-AUD,1557151454425998,18280
ZEC-AUD,1557151454434998,6878
ZEC-AUD,1557151454434998,6878
ZEC-AUD,1557151454580014,6780
ZEC-AUD,1557151454863019,6876
LTC-AUD,1557151455082015,7697
ZEC-AUD,1557151455095004,6876
ZEC-AUD,1557151455095005,6876
LTC-AUD,1557151455866010,7706
ETH-AUD,1557151455866012,18307
LTC-AUD,1557151456047004,7706
ETH-AUD,1557151682399904,18418
BTC-AUD,1557151682399905,561267
ETH-AUD,1557151682399908,18409
BTC-AUD,1557151682817899,556217
LTC-AUD,1557151682829899,7794
LTC-AUD,1557151682829900,7794
LTC-AUD,1557151682829901,7785
LTC-AUD,1557151682829901,7794
BTC-AUD,1557151493285151,553673
BTC-AUD,1557151493285151,553673
ETH-AUD,1557151493292153,18382
LTC-AUD,1557151493402152,7609
LTC-AUD,1557151493402153,7609
LTC-AUD,1557151493402154,7609
LTC-AUD,1557151493402155,7609
LTC-AUD,1557151493402155,7617
ETH-AUD,1557151493405152,18687
ZEC-AUD,1557151493561159,6895
ETH-AUD,1557151493561168,18386
LTC-AUD,1557151493740154,7617
ETH-AUD,1557151493744153,18386
ETH-AUD,1557151493744153,18386
LTC-AUD,1557151493766154,7617
ZEC-AUD,1557151493767153,6895
ZEC-AUD,1557151493767154,6895
ZEC-AUD,1557151493767155,6895
ZEC-AUD,1557151493767156,6895
ETH-AUD,1557151494124156,18382
ETH-AUD,1557151494489160,18687
LTC-AUD,1557151495066168,7739
LTC-AUD,1557151495227159,7739
LTC-AUD,1557151495227160,7739
ZEC-AUD,1557151495287162,6794
LTC-AUD,1557151495287177,7600
ETH-AUD,1557151495847162,18687
LTC-AUD,1557151496072172,7756
BTC-AUD,1557151496072175,553127
LTC-AUD,1557151496072176,7750
BTC-AUD,1557151496072179,553118
BTC-AUD,1557151496150162,553127
BTC-AUD,1557151496150162,553127
BTC-AUD,1557151496150162,553118
BTC-AUD,1557151496150162,553118
LTC-AUD,1557151496168162,7756
LTC-AUD,1557151496168162,7756
LTC-AUD,1557151496168162,7750
ZEC-AUD,1557151496297174,6814
LTC-AUD,1557151496297181,7606
LTC-AUD,1557151496545164,7606
ZEC-AUD,1557151496551164,6814
ZEC-AUD,1557151496551164,6814
LTC-AUD,1557151225120099,7843
ETH-AUD,1557151225120101,18746
ZEC-AUD,1557151225120108,6973
ETH-AUD,1557151225176089,18743
ETH-AUD,1557151225176090,18743
ETH-AUD,1557151225176091,18743
ETH-AUD,1557151225176092,18743
ETH-AUD,1557151225177089,18763
ETH-AUD,1557151225177089,18763
LTC-AUD,1557151225195089,7859
ETH-AUD,1557151225323090,18746
LTC-AUD,1557151225339090,7843
LTC-AUD,1557151225339091,7843
LTC-AUD,1557151225339092,7491
LTC-AUD,1557151225339092,7843
ZEC-AUD,1557151225667092,6973
ZEC-AUD,1557151225667093,6973
ZEC-AUD,1557151225667094,6973
LTC-AUD,1557151225804093,7491
LTC-AUD,1557151225827093,7491
LTC-AUD,1557151226011098,7909
ZEC-AUD,1557151226230097,6904
LTC-AUD,1557151226276096,7909
LTC-AUD,1557151226276097,7909
LTC-AUD,1557151226276098,7909
ZEC-AUD,1557151226275095,6904
ZEC-AUD,1557151226284095,6904
BTC-AUD,1557151226516099,541426
ETH-AUD,1557151226516106,18851
BTC-AUD,1557151226516111,541436
BTC-AUD,1557151226778096,541426
BTC-AUD,1557151226778097,541426
BTC-AUD,1557151226778098,541426
BTC-AUD,1557151226778099,541426
BTC-AUD,1557151226778099,541436
ETH-AUD,1557151226818096,18851
ETH-AUD,1557151226818096,18851
